channel,rank,logo,watch_time_m,stream_time_m,peak_viewers,avg_viewers,followers,partnered,mature,language,url,t_subs,start,income,stream_time_h/m
ThatViolinChick,84,https://static-cdn.jtvnw.net/jtv_user_pictures/30bd7775-e09a-4200-8726-9928c4a20fa0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6265005,10410,19106,602,35379,TRUE,TRUE,English,https://www.twitch.tv/ThatViolinChick/about,210,"Jan 29, 2017",525,57.83
OWN3D_Music,85,https://static-cdn.jtvnw.net/jtv_user_pictures/aa327a79-52c1-49b8-b275-ce1fa4517c5c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6161610,128190,189,48,5895,FALSE,FALSE,English,https://www.twitch.tv/OWN3D_Music/about,1,"Sep 10, 2020",2.5,712.17
Halocene,88,https://static-cdn.jtvnw.net/jtv_user_pictures/6dd78938-e9e9-45f6-80bb-165b73dee16e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6001110,5325,3046,1127,91646,TRUE,TRUE,English,https://www.twitch.tv/Halocene/about,4200,"May 13, 2015",10500,29.58
ThonggDeLonge,90,https://static-cdn.jtvnw.net/jtv_user_pictures/5d4af6b0-d5f8-461c-b82b-34d32a4696b3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5911695,8970,4079,659,8425,TRUE,FALSE,English,https://www.twitch.tv/ThonggDeLonge/about,308,"Oct 15, 2020",770,49.83
SECRET_GARDEN_DJ_REMINISE,91,https://static-cdn.jtvnw.net/jtv_user_pictures/f7c61ffe-c6a3-4066-bf7c-1f7c79c7af7e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5903085,119370,150,49,14603,TRUE,FALSE,English,https://www.twitch.tv/SECRET_GARDEN_DJ_REMINISE/about,24,"Apr 21, 2018",60,663.17
The8BitDrummer,92,https://static-cdn.jtvnw.net/jtv_user_pictures/c4138ed0-8cd2-45a5-b1ac-82c9fe938a43-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5885610,8910,3069,661,385297,TRUE,FALSE,English,https://www.twitch.tv/The8BitDrummer/about,2852,"May 28, 2014",7130,49.50
alleykaydj,93,https://static-cdn.jtvnw.net/jtv_user_pictures/466036f0-aae8-4677-8c9b-c451d1eedf3a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5872365,11205,2730,524,21525,TRUE,FALSE,English,https://www.twitch.tv/alleykaydj/about,1046,"Oct 9, 2013",2615,62.25
SympulsMusic,96,https://static-cdn.jtvnw.net/jtv_user_pictures/59cd55a3-1b32-4e1f-ad54-1c6c1d38653e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5703330,16935,886,337,45224,TRUE,FALSE,German,https://www.twitch.tv/SympulsMusic/about,583,"Jan 22, 2016",1457.5,94.08
Cheeseburger97,97,https://static-cdn.jtvnw.net/jtv_user_pictures/cheeseburger97-profile_image-10e621ecb0ff91f3-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5692845,10905,5000,522,7395,TRUE,FALSE,English,https://www.twitch.tv/Cheeseburger97/about,92,"Feb 10, 2014",230,60.58
calvinthomasmusic,98,https://static-cdn.jtvnw.net/jtv_user_pictures/50984af1-469c-4be6-8783-de16fb90b1cd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5581470,10530,6114,530,26508,TRUE,FALSE,English,https://www.twitch.tv/calvinthomasmusic/about,217,"May 29, 2018",542.5,58.50
